date,time,symbol,open,high,low,close,volume
"=""16-02-24""",13:30:00,FINNIFTY,20453.65,20460.8,20453.25,20459.0,0.0
"=""16-02-24""",13:31:00,FINNIFTY,20459.55,20460.05,20450.05,20451.4,0.0
"=""16-02-24""",13:32:00,FINNIFTY,20451.25,20461.4,20443.75,20461.4,0.0
"=""16-02-24""",13:33:00,FINNIFTY,20460.05,20468.2,20460.05,20462.45,0.0
"=""16-02-24""",13:34:00,FINNIFTY,20462.2,20470.25,20460.75,20470.25,0.0
"=""16-02-24""",13:35:00,FINNIFTY,20468.65,20489.3,20468.65,20487.0,0.0
"=""16-02-24""",13:36:00,FINNIFTY,20488.5,20499.85,20486.5,20497.15,0.0
"=""16-02-24""",13:37:00,FINNIFTY,20496.25,20499.95,20490.6,20493.6,0.0
"=""16-02-24""",13:38:00,FINNIFTY,20493.8,20499.4,20491.7,20493.2,0.0
"=""16-02-24""",13:39:00,FINNIFTY,20491.8,20493.1,20484.25,20490.8,0.0
"=""16-02-24""",13:40:00,FINNIFTY,20490.65,20496.7,20489.7,20494.45,0.0
"=""16-02-24""",13:41:00,FINNIFTY,20492.9,20506.95,20489.35,20502.95,0.0
"=""16-02-24""",13:42:00,FINNIFTY,20503.15,20509.4,20501.95,20505.75,0.0
"=""16-02-24""",13:43:00,FINNIFTY,20505.8,20509.0,20500.8,20504.0,0.0
"=""16-02-24""",13:44:00,FINNIFTY,20503.55,20512.1,20502.85,20506.5,0.0
"=""16-02-24""",13:45:00,FINNIFTY,20509.2,20509.95,20501.05,20502.95,0.0
"=""16-02-24""",13:46:00,FINNIFTY,20504.6,20525.6,20502.4,20523.5,0.0
"=""16-02-24""",13:47:00,FINNIFTY,20523.6,20537.5,20522.55,20537.0,0.0
"=""16-02-24""",13:48:00,FINNIFTY,20538.65,20549.35,20530.1,20531.25,0.0
"=""16-02-24""",13:49:00,FINNIFTY,20531.35,20540.85,20530.7,20536.1,0.0
"=""16-02-24""",13:50:00,FINNIFTY,20534.75,20552.1,20534.75,20545.0,0.0
"=""16-02-24""",13:51:00,FINNIFTY,20545.75,20545.75,20535.0,20535.55,0.0
"=""16-02-24""",13:52:00,FINNIFTY,20535.3,20536.2,20530.1,20530.1,0.0
"=""16-02-24""",13:53:00,FINNIFTY,20530.15,20530.95,20519.3,20520.7,0.0
"=""16-02-24""",13:54:00,FINNIFTY,20522.3,20531.85,20522.15,20528.9,0.0
"=""16-02-24""",13:55:00,FINNIFTY,20529.25,20530.5,20524.7,20524.8,0.0
"=""16-02-24""",13:56:00,FINNIFTY,20526.75,20527.25,20518.8,20518.8,0.0
"=""16-02-24""",13:57:00,FINNIFTY,20519.6,20519.6,20501.3,20502.8,0.0
"=""16-02-24""",13:58:00,FINNIFTY,20503.5,20515.3,20503.3,20511.05,0.0
"=""16-02-24""",13:59:00,FINNIFTY,20511.6,20514.9,20506.7,20509.75,0.0
"=""16-02-24""",14:00:00,FINNIFTY,20507.15,20508.65,20493.35,20495.65,0.0
"=""16-02-24""",14:01:00,FINNIFTY,20495.3,20509.65,20491.0,20506.2,0.0
"=""16-02-24""",14:02:00,FINNIFTY,20506.75,20510.05,20501.6,20506.65,0.0
